DoB_month,DoB_day,DoB_year,Age,Name,College,Sex,Eye_Colour,Hair_Colour,Head_length,Face_breadth,Face_iobreadth
3,9,1887,19,Joel Martin,Emmanuel,Male,dark,jet-black,20.573999999999998,14.986,6.35
12,1,1891,23,Rodney Tyler,Corpus Christi,Male,dark,fair,20.573999999999998,14.732,7.111999999999999
11,22,1890,30,Scott Morris,Emmanuel,Male,dark,jet-black,19.812,16.51,6.604
4,12,1883,24,Arthur Torres,Fitzwilliam,Male,medium,fair,20.32,14.986,5.842
2,4,1880,21,Cody Mclean,Downing,Male,medium,jet-black,19.05,14.732,6.096
2,8,1898,22,Andrew Duran,Jesus,Male,dark,fair,20.573999999999998,15.494,6.604
4,8,1891,19,Roberto Simpson,Fitzwilliam,Male,dark,red,19.558,14.986,5.842
3,30,1879,23,Matthew Hall,Selwyn,Male,light,brown,19.304,14.986,6.096
8,7,1897,20,James Greer,Gonville & Caius,Male,dark,jet-black,21.082,14.223999999999998,5.588000000000001
2,26,1875,27,Scott Morgan,Christ's,Male,medium,brown,20.066000000000003,14.478000000000002,6.604
9,11,1880,23,Joseph Davis,Trinity,Male,medium,jet-black,19.304,14.986,5.842
4,18,1883,21,Robert Harris,Downing,Male,light,jet-black,19.812,15.24,5.842
8,18,1898,20,Jesus Skinner,St John's,Male,dark,red,19.558,15.494,6.8580000000000005
1,3,1897,18,Douglas House,Christ's,Male,light,brown,21.336000000000002,14.986,6.35
3,28,1887,24,Michael Smith,St Catharine's,Male,medium,jet-black,19.558,14.732,6.096
4,30,1872,24,David Webb,Downing,Male,medium,jet-black,20.066000000000003,14.986,6.096
10,16,1875,19,Taylor Rivera,Magdalene,Male,dark,dark,19.812,15.494,6.096
7,19,1879,24,Ronald Olsen,St Edmund's,Male,dark,red,19.304,15.748000000000001,6.096
7,17,1876,30,Gregory Barr,Christ's,Male,dark,jet-black,19.558,16.51,6.096
11,8,1897,19,Corey Rodriguez,Peterhouse,Male,dark,jet-black,19.304,14.732,5.842
3,19,1876,25,Joshua Davis,Queen's,Male,medium,fair,19.812,14.986,6.35
3,21,1882,22,William Hamilton,Emmanuel,Male,light,jet-black,20.32,15.748000000000001,6.35
4,1,1895,22,Charles Miranda,Trinity Hall,Male,dark,dark,19.558,15.494,6.604
4,2,1870,29,Brian Martinez,Selwyn,Male,medium,dark,19.558,14.986,6.35
3,27,1882,23,Michael Hogan,St John's,Male,dark,fair,20.32,14.223999999999998,5.842
4,3,1868,26,Christopher Turner,Fitzwilliam,Male,light,red,19.812,14.732,5.842
2,13,1882,21,Robert Hunt,Pembroke,Male,light,red,20.066000000000003,15.748000000000001,6.096
2,23,1870,23,Mario Smith,Queen's,Male,medium,jet-black,20.32,14.986,6.096
6,30,1872,21,Shawn Herrera,St Edmund's,Male,dark,dark,20.066000000000003,14.732,6.35
10,28,1879,22,Dalton Lutz,Emmanuel,Male,light,jet-black,19.304,15.24,6.096
